dataset,arm,seed,gate_index,model,auc_roc,accuracy,overall_fairness_passed,attribute,disparate_impact,demographic_parity_difference,equal_opportunity_difference,protected,excluded_groups,violation,decision,decision_reason
adult,A,42,0,XGBoost,0.9273,0.8734,False,age,0.0192,0.2449,0.1983,True,,True,approve,arm approves at the first gate
adult,A,42,0,XGBoost,0.9273,0.8734,False,sex,0.3306,0.1739,0.0628,True,,True,approve,arm approves at the first gate
adult,A,42,0,XGBoost,0.9273,0.8734,False,race,0.3193,0.1554,0.2385,True,,True,approve,arm approves at the first gate
adult,A,42,0,XGBoost,0.9273,0.8734,False,marital-status,0.0435,0.3761,0.4447,False,Married-AF-spouse=7,True,approve,arm approves at the first gate
adult,A,42,0,XGBoost,0.9273,0.8734,False,occupation,0.0,0.4987,0.6081,False,Armed-Forces=2,True,approve,arm approves at the first gate
adult,A,7,0,XGBoost,0.9284,0.8733,False,age,0.0189,0.2442,0.3162,True,,True,approve,arm approves at the first gate
adult,A,7,0,XGBoost,0.9284,0.8733,False,sex,0.3209,0.1752,0.0823,True,,True,approve,arm approves at the first gate
adult,A,7,0,XGBoost,0.9284,0.8733,False,race,0.2352,0.1785,0.3637,True,,True,approve,arm approves at the first gate
adult,A,7,0,XGBoost,0.9284,0.8733,False,marital-status,0.0608,0.3709,0.2633,False,Married-AF-spouse=6,True,approve,arm approves at the first gate
adult,A,7,0,XGBoost,0.9284,0.8733,False,occupation,0.0,0.5067,0.6108,False,Armed-Forces=5,True,approve,arm approves at the first gate
adult,A,19,0,XGBoost,0.9243,0.8724,False,age,0.0188,0.2454,0.3046,True,,True,approve,arm approves at the first gate
adult,A,19,0,XGBoost,0.9243,0.8724,False,sex,0.3055,0.1816,0.09,True,,True,approve,arm approves at the first gate
adult,A,19,0,XGBoost,0.9243,0.8724,False,race,0.212,0.1907,0.2146,True,,True,approve,arm approves at the first gate
adult,A,19,0,XGBoost,0.9243,0.8724,False,marital-status,0.0553,0.3778,0.3456,False,Married-AF-spouse=4,True,approve,arm approves at the first gate
adult,A,19,0,XGBoost,0.9243,0.8724,False,occupation,0.0,0.4722,0.5952,False,Armed-Forces=5,True,approve,arm approves at the first gate
adult,A,73,0,XGBoost,0.9242,0.8699,False,age,0.019,0.2479,0.2517,True,,True,approve,arm approves at the first gate
