dataset,arm,seed,status,error,gates,final_model,accuracy,f1,auc_roc,fairness_evaluated,overall_fairness_passed,attributes_evaluated,n_violations,min_disparate_impact,max_parity_difference,max_equal_opportunity_difference,protected_attributes_evaluated,protected_attributes_unaudited,mitigated_attributes,retries,reroutes,eda_findings,columns_dropped,train_rows,test_rows,split_seed_recorded,planner_calls,planner_cache_hits,planner_tokens_recorded,planner_model,dataset_rows,dataset_sha256,wall_clock_s
adult,A,42,approved,,1,XGBoost,0.8734,0.7129,0.9273,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4987,0.6081,3,native-country,,0,0,9,education-num,39073,9769,42,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,4.15
adult,A,7,approved,,1,XGBoost,0.8733,0.7124,0.9284,True,False,age;sex;race;marital-status;occupation,5,0.0,0.5067,0.6108,3,native-country,,0,0,9,education-num,39073,9769,7,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,4.14
adult,A,19,approved,,1,XGBoost,0.8724,0.7098,0.9243,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4722,0.5952,3,native-country,,0,0,9,education-num,39073,9769,19,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,3.97
adult,A,73,approved,,1,XGBoost,0.8699,0.7071,0.9242,True,False,age;sex;race;marital-status;occupation,5,0.0,0.5065,0.6392,3,native-country,,0,0,9,education-num,39073,9769,73,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,4.29
adult,A,128,approved,,1,XGBoost,0.8775,0.7236,0.9295,True,False,age;sex;race;marital-status;occupation,5,0.0192,0.4815,0.6058,3,native-country,,0,0,9,education-num,39073,9769,128,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,3.98
adult,B,42,approved,,1,XGBoost,0.8734,0.7129,0.9273,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4987,0.6081,3,native-country,,0,0,9,education-num,39073,9769,42,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,3.57
adult,B,7,approved,,1,XGBoost,0.8733,0.7124,0.9284,True,False,age;sex;race;marital-status;occupation,5,0.0,0.5067,0.6108,3,native-country,,0,0,9,education-num,39073,9769,7,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,3.7
adult,B,19,approved,,1,XGBoost,0.8724,0.7098,0.9243,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4722,0.5952,3,native-country,,0,0,9,education-num,39073,9769,19,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,2.91
adult,B,73,approved,,1,XGBoost,0.8699,0.7071,0.9242,True,False,age;sex;race;marital-status;occupation,5,0.0,0.5065,0.6392,3,native-country,,0,0,9,education-num,39073,9769,73,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,4.47
adult,B,128,approved,,1,XGBoost,0.8775,0.7236,0.9295,True,False,age;sex;race;marital-status;occupation,5,0.0192,0.4815,0.6058,3,native-country,,0,0,9,education-num,39073,9769,128,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,6.63
adult,C,42,approved,,3,LogisticRegression,0.8258,0.5652,0.8772,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4181,0.5476,3,native-country,,0,2,9,education-num,39073,9769,42,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,108.14
adult,C,7,approved,,3,LogisticRegression,0.8311,0.5889,0.8796,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4589,0.5953,3,native-country,,0,2,9,education-num,39073,9769,7,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,113.2
adult,C,19,approved,,3,LogisticRegression,0.8286,0.5762,0.8783,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4255,0.6069,3,native-country,,0,2,9,education-num,39073,9769,19,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,140.24
adult,C,73,approved,,3,LogisticRegression,0.8269,0.5752,0.8756,True,False,age;sex;race;marital-status;occupation,5,0.0319,0.3906,0.5882,3,native-country,,0,2,9,education-num,39073,9769,73,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,146.09
adult,C,128,approved,,3,LogisticRegression,0.8271,0.5699,0.8788,True,False,age;sex;race;marital-status;occupation,5,0.0229,0.3998,0.5637,3,native-country,,0,2,9,education-num,39073,9769,128,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,136.4
adult,D,42,approved,,3,XGBoost,0.8694,0.6849,0.9246,True,False,age;sex;race;marital-status;occupation,5,0.0,0.44,0.5318,3,native-country,age;race,0,2,9,education-num,39073,9769,42,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,9.69
adult,D,7,approved,,3,XGBoost,0.8715,0.691,0.9249,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4506,0.558,3,native-country,age;race,0,2,9,education-num,39073,9769,7,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,9.94
adult,D,19,approved,,3,XGBoost,0.8669,0.6756,0.9177,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4126,0.5287,3,native-country,age;sex,0,2,9,education-num,39073,9769,19,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,10.89
adult,D,73,approved,,3,XGBoost,0.8672,0.6828,0.921,True,False,age;sex;race;marital-status;occupation,5,0.0,0.4567,0.585,3,native-country,age;race,0,2,9,education-num,39073,9769,73,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,9.66
adult,D,128,approved,,3,XGBoost,0.8779,0.709,0.9292,True,False,age;sex;race;marital-status;occupation,5,0.0262,0.4465,0.5133,3,native-country,age;race,0,2,9,education-num,39073,9769,128,1,1,3014,openai/gpt-oss-20b,48842,d273d956c28eba72241f69dcbb78e37e93862248503a1873fb44b9fc2a6ae00b,8.67
credit_g,A,42,approved,,1,RandomForest,0.755,0.835,0.7906,True,False,job,1,0.7507,0.225,0.1159,0,age,,0,0,3,,800,200,42,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.81
credit_g,A,7,approved,,1,RandomForest,0.745,0.8271,0.7968,True,False,age;job,1,0.7916,0.1667,0.2581,1,,,0,0,3,,800,200,7,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.27
credit_g,A,19,approved,,1,RandomForest,0.76,0.8411,0.778,True,,job,0,0.9327,0.0593,0.0717,0,age,,0,0,3,,800,200,19,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.16
credit_g,A,73,approved,,1,RandomForest,0.755,0.8372,0.7525,True,False,age;job,2,0.7173,0.2365,0.1984,1,,,0,0,3,,800,200,73,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.41
credit_g,A,128,approved,,1,XGBoost,0.745,0.8172,0.7868,True,False,age;job,1,0.7992,0.1424,0.1793,1,,,0,0,3,,800,200,128,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,1.4
credit_g,B,42,approved,,1,RandomForest,0.755,0.835,0.7906,True,False,job,1,0.7507,0.225,0.1159,0,age,,0,0,3,,800,200,42,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,2.93
credit_g,B,7,approved,,1,RandomForest,0.745,0.8271,0.7968,True,False,age;job,1,0.7916,0.1667,0.2581,1,,,0,0,3,,800,200,7,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.02
credit_g,B,19,approved,,1,RandomForest,0.76,0.8411,0.778,True,,job,0,0.9327,0.0593,0.0717,0,age,,0,0,3,,800,200,19,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,4.07
credit_g,B,73,approved,,1,RandomForest,0.755,0.8372,0.7525,True,False,age;job,2,0.7173,0.2365,0.1984,1,,,0,0,3,,800,200,73,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.94
credit_g,B,128,approved,,1,XGBoost,0.745,0.8172,0.7868,True,False,age;job,1,0.7992,0.1424,0.1793,1,,,0,0,3,,800,200,128,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,2.39
credit_g,C,42,approved,,3,XGBoost,0.745,0.8198,0.7689,True,False,job,1,0.8016,0.1597,0.0838,0,age,,0,2,3,,800,200,42,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.97
credit_g,C,7,approved,,3,XGBoost,0.755,0.8328,0.7671,True,False,age;job,2,0.8042,0.1542,0.1232,1,,,0,2,3,,800,200,7,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.45
credit_g,C,19,approved,,1,RandomForest,0.76,0.8411,0.778,True,,job,0,0.9327,0.0593,0.0717,0,age,,0,0,3,,800,200,19,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.12
credit_g,C,73,approved,,3,LogisticRegression,0.73,0.8151,0.7225,True,False,age;job,1,0.6729,0.2592,0.1908,1,,,0,2,3,,800,200,73,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,5.54
credit_g,C,128,approved,,3,LogisticRegression,0.74,0.8219,0.7792,True,False,age;job,1,0.7922,0.1772,0.2963,1,,,0,2,3,,800,200,128,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,5.77
credit_g,D,42,approved,,3,RandomForest,0.765,0.8407,0.792,True,False,job,1,0.7309,0.2494,0.1159,0,age,job,0,2,3,,800,200,42,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,10.79
credit_g,D,7,approved,,2,RandomForest,0.765,0.8418,0.7904,True,True,age;job,0,0.9409,0.0482,0.0142,1,,age,0,1,3,,800,200,7,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,7.55
credit_g,D,19,approved,,1,RandomForest,0.76,0.8411,0.778,True,,job,0,0.9327,0.0593,0.0717,0,age,,0,0,3,,800,200,19,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.97
credit_g,D,73,approved,,3,RandomForest,0.755,0.8372,0.7675,True,False,age;job,1,0.7173,0.2365,0.1301,1,,age;job,0,2,3,,800,200,73,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,11.79
credit_g,D,128,approved,,2,XGBoost,0.75,0.8214,0.7935,True,True,age;job,0,0.9189,0.0596,0.1393,1,,age,0,1,3,,800,200,128,1,1,2741,openai/gpt-oss-20b,1000,9888fb06e7bf42963f4db2c8fd57666d5426c0a3692d10b51571de49518a105a,3.22
bank_marketing,A,42,approved,,1,XGBoost,0.8927,0.3101,0.7576,True,False,age;marital;education,3,0.124,0.2007,0.2272,1,,,0,0,5,,36168,9043,42,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.18
bank_marketing,A,7,approved,,1,XGBoost,0.8904,0.2896,0.7487,True,False,age;marital;education,3,0.111,0.2082,0.2194,1,,,0,0,5,,36168,9043,7,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.18
bank_marketing,A,19,approved,,1,XGBoost,0.8923,0.3283,0.7596,True,False,age;marital;education,2,0.111,0.2555,0.2557,1,,,0,0,5,,36168,9043,19,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.28
bank_marketing,A,73,approved,,1,XGBoost,0.8915,0.3008,0.7426,True,False,age;marital;education,2,0.1001,0.2454,0.3636,1,,,0,0,5,,36168,9043,73,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.01
bank_marketing,A,128,approved,,1,LogisticRegression,0.8938,0.2771,0.755,True,False,age;marital;education,3,0.1942,0.1033,0.136,1,,,0,0,5,,36168,9043,128,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,6.61
bank_marketing,B,42,approved,,1,XGBoost,0.8927,0.3101,0.7576,True,False,age;marital;education,3,0.124,0.2007,0.2272,1,,,0,0,5,,36168,9043,42,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.16
bank_marketing,B,7,approved,,1,XGBoost,0.8904,0.2896,0.7487,True,False,age;marital;education,3,0.111,0.2082,0.2194,1,,,0,0,5,,36168,9043,7,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.13
bank_marketing,B,19,approved,,1,XGBoost,0.8923,0.3283,0.7596,True,False,age;marital;education,2,0.111,0.2555,0.2557,1,,,0,0,5,,36168,9043,19,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.39
bank_marketing,B,73,approved,,1,XGBoost,0.8915,0.3008,0.7426,True,False,age;marital;education,2,0.1001,0.2454,0.3636,1,,,0,0,5,,36168,9043,73,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.41
bank_marketing,B,128,approved,,1,LogisticRegression,0.8938,0.2771,0.755,True,False,age;marital;education,3,0.1942,0.1033,0.136,1,,,0,0,5,,36168,9043,128,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,5.89
bank_marketing,C,42,approved,,3,RandomForest,0.8889,0.3177,0.7229,True,False,age;marital;education,3,0.205,0.1466,0.2631,1,,,0,2,5,,36168,9043,42,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,117.98
bank_marketing,C,7,approved,,3,RandomForest,0.8833,0.2867,0.7232,True,False,age;marital;education,3,0.14,0.2132,0.2012,1,,,0,2,5,,36168,9043,7,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,114.79
bank_marketing,C,19,approved,,3,RandomForest,0.8875,0.326,0.7292,True,False,age;marital;education,3,0.1583,0.2142,0.2247,1,,,0,2,5,,36168,9043,19,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,116.98
bank_marketing,C,73,approved,,3,RandomForest,0.8865,0.2934,0.7067,True,False,age;marital;education,3,0.12,0.2375,0.2764,1,,,0,2,5,,36168,9043,73,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,116.1
bank_marketing,C,128,approved,,3,RandomForest,0.886,0.3048,0.7227,True,False,age;marital;education,3,0.1404,0.218,0.2968,1,,,0,2,5,,36168,9043,128,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,115.07
bank_marketing,D,42,approved,,3,LogisticRegression,0.8938,0.2804,0.7414,True,False,age;marital;education,3,0.3152,0.0593,0.0854,1,,age;education,0,2,5,,36168,9043,42,1,1,2400,openai/gpt-oss-20b,45211,faae5c9c76ebb7ef2e672c2569d2c8a78662cc9b02ed4fa118a67a90b4621faa,11.31
