dataset,arm,runs,errors,approved,fairness_evaluated,fairness_partial,approved_with_violation,auc_mean,accuracy_mean,min_di_mean,max_dpd_mean,max_eod_mean,protected_mean,violations_mean,reroutes_mean,retries_mean,seconds_mean,auc_std,accuracy_std,min_di_std,max_dpd_std,max_eod_std,protected_std,violations_std,reroutes_std,retries_std,seconds_std
adult,A,5,0,5,5,0,5,0.92566,0.8710000000000001,0.0185,0.24614000000000003,0.30956,3.0,3.0,0.0,0.0,3.278,0.0032974232364074664,0.0036558172820861864,0.0021319005605327838,0.0021454603235669515,0.08966882401370056,0.0,0.0,0.0,0.0,0.16679328523654657
adult,B,5,0,5,5,0,5,0.92566,0.8710000000000001,0.0185,0.24614000000000003,0.30956,3.0,3.0,0.0,0.0,3.104,0.0032974232364074664,0.0036558172820861864,0.0021319005605327838,0.0021454603235669515,0.08966882401370056,0.0,0.0,0.0,0.0,0.09099450532861862
adult,C,5,0,5,5,0,5,0.8773199999999999,0.8276600000000001,0.03438,0.25004,0.34209999999999996,3.0,3.0,2.0,0.0,86.694,0.0017455658108476264,0.001043072384832418,0.008153342872711782,0.015968030561092993,0.06357436590324751,0.0,0.0,0.0,0.0,0.57795328530946
adult,D,5,0,5,5,0,5,0.92294,0.86908,0.07326,0.20232,0.23113999999999998,3.0,3.0,2.0,0.0,8.868,0.003255456957172053,0.003401764248151263,0.01809317550901444,0.004114851151621404,0.07557399023473618,0.0,0.0,0.0,0.0,2.5971272591076473
credit_g,A,5,0,0,0,0,0,,,,,,,,0.0,0.0,1.8679999999999999,,,,,,,,0.0,0.0,0.6397421355515048
credit_g,B,5,0,0,0,0,0,,,,,,,,0.0,0.0,1.8960000000000001,,,,,,,,0.0,0.0,0.6901666465427028
credit_g,C,5,0,0,0,0,0,,,,,,,,0.0,0.0,1.818,,,,,,,,0.0,0.0,0.6013484846576068
credit_g,D,5,0,0,0,0,0,,,,,,,,0.0,0.0,1.834,,,,,,,,0.0,0.0,0.5986902371009569
bank_marketing,A,5,0,5,5,0,5,0.74642,0.89312,0.17708,0.12672,0.1679,1.0,1.0,0.0,0.0,3.136,0.010461692023759803,0.0017484278652549249,0.04793930537669481,0.04536090828014801,0.09273095491797763,0.0,0.0,0.0,0.0,0.8671966328347915
bank_marketing,B,5,0,5,5,0,5,0.74642,0.89312,0.17708,0.12672,0.1679,1.0,1.0,0.0,0.0,2.488,0.010461692023759803,0.0017484278652549249,0.04793930537669481,0.04536090828014801,0.09273095491797763,0.0,0.0,0.0,0.0,0.17239489551607956
bank_marketing,C,5,0,5,5,0,5,0.7236,0.88674,0.14618,0.2064,0.27233999999999997,1.0,1.0,2.0,0.0,61.60600000000001,0.007623319486942659,0.0013088162590676924,0.025359455830123796,0.02890302752308138,0.06788949108661811,0.0,0.0,0.0,0.0,0.7185610621234624
bank_marketing,D,5,0,5,5,0,5,0.74188,0.89316,0.2391,0.08342000000000001,0.10544,1.0,1.0,2.0,0.0,7.686,0.009881396662415706,0.0013867227552759093,0.038697157518350095,0.01660472824228087,0.030096145932660547,0.0,0.0,0.0,0.0,1.8492511998103447
compas,A,5,0,5,5,0,5,0.72406,0.67766,0.1843,0.61932,0.5787599999999999,4.0,4.0,0.0,0.0,1.1099999999999999,0.020191904318315308,0.018289286481434953,0.060831447459352796,0.096688505004473,0.12001926095423185,0.0,0.0,0.0,0.0,0.14815532390029057
compas,B,5,0,5,5,0,5,0.72406,0.67766,0.1843,0.61932,0.5787599999999999,4.0,4.0,0.0,0.0,1.0619999999999998,0.020191904318315308,0.018289286481434953,0.060831447459352796,0.096688505004473,0.12001926095423185,0.0,0.0,0.0,0.0,0.10894952959971876
compas,C,5,0,5,5,0,5,0.6658,0.62652,0.3639,0.39052,0.36152,4.0,3.6,2.0,0.0,9.236,0.007570667077609504,0.012303332881784555,0.08764294038882996,0.06459610669382482,0.14987040068005422,0.0,0.5477225575051661,0.0,0.0,0.14741099009232622
compas,D,5,0,5,5,0,5,0.70854,0.6574,0.41622000000000003,0.23068,0.25124,4.0,3.2,2.0,0.0,2.408,0.017052653752422237,0.014274627841033222,0.08771967852198274,0.034758912526142126,0.05424424393426459,0.0,0.4472135954999579,0.0,0.0,0.37738574429885413
